date_time,Voltage_Set,Height
"2026-05-10 11:20:24",0,0.694861
"2026-05-10 11:20:25",0,0.694861
"2026-05-10 11:20:26",0,0.694861
"2026-05-10 11:20:27",0,0.664167
"2026-05-10 11:20:28",0,0.633472
"2026-05-10 11:20:29",0,0.679514
"2026-05-10 11:20:30",0,0.694861
"2026-05-10 11:20:31",0,0.664167
"2026-05-10 11:20:32",0,0.633472
"2026-05-10 11:20:33",10,0.679514
"2026-05-10 11:20:34",10,2.29097
"2026-05-10 11:20:35",10,3.81035
"2026-05-10 11:20:36",9.99999,5.20694
"2026-05-10 11:20:37",9.99994,5.92826
"2026-05-10 11:20:38",9.99991,6.63424
"2026-05-10 11:20:39",9.99992,7.11
"2026-05-10 11:20:40",9.99988,7.60111
"2026-05-10 11:20:42",9.99981,7.9234
"2026-05-10 11:20:43",9.99985,8.27639
"2026-05-10 11:20:44",9.99988,8.59868
"2026-05-10 11:20:45",9.99987,8.7368
"2026-05-10 11:20:46",9.99982,9.24326
"2026-05-10 11:20:47",9.99977,9.5809
"2026-05-10 11:20:48",9.99903,9.82646
"2026-05-10 11:20:49",9.99959,10.1641
"2026-05-10 11:20:50",9.99924,10.4097
"2026-05-10 11:20:51",9.99798,10.7166
"2026-05-10 11:20:52",9.99756,11.0082
"2026-05-10 11:20:53",9.99677,11.2998
"2026-05-10 11:20:54",9.9959,11.5453
"2026-05-10 11:20:55",9.99554,11.8062
"2026-05-10 11:20:56",9.99534,12.0518
"2026-05-10 11:20:57",9.99511,12.3127
"2026-05-10 11:20:58",9.98866,12.5276
"2026-05-10 11:20:59",9.97708,12.7885
"2026-05-10 11:21:00",9.97578,13.034
"2026-05-10 11:21:01",9.9743,13.2796
"2026-05-10 11:21:02",9.97251,13.5098
"2026-05-10 11:21:03",9.97044,13.74
"2026-05-10 11:21:04",9.96592,13.9549
"2026-05-10 11:21:05",9.90971,14.1697
"2026-05-10 11:21:06",9.25302,14.3692
"2026-05-10 11:21:07",8.90446,14.5534
"2026-05-10 11:21:08",8.75467,15.7505
"2026-05-10 11:21:09",8.39324,14.9524
"2026-05-10 11:21:10",7.98429,15.0445
"2026-05-10 11:21:11",7.77741,15.0445
"2026-05-10 11:21:12",7.7229,15.0292
"2026-05-10 11:21:13",7.75778,14.9831
"2026-05-10 11:21:14",7.81496,14.9371
"2026-05-10 11:21:15",7.85753,14.9524
"2026-05-10 11:21:16",7.90469,14.9217
"2026-05-10 11:21:17",7.90469,14.9064
"2026-05-10 11:21:18",7.93061,14.891
"2026-05-10 11:21:19",7.98689,14.891
"2026-05-10 11:21:20",8.01731,14.9217
"2026-05-10 11:21:21",7.93515,14.9371
"2026-05-10 11:21:22",7.91076,14.9678
"2026-05-10 11:21:23",7.91147,14.9371
"2026-05-10 11:21:24",7.88812,14.9524
"2026-05-10 11:21:25",7.88865,14.9524
"2026-05-10 11:21:26",7.93853,14.9217
"2026-05-10 11:21:27",7.91412,14.9217
"2026-05-10 11:21:28",7.94013,14.9371
"2026-05-10 11:21:29",7.94102,14.9831
"2026-05-10 11:21:30",7.8925,14.9524
"2026-05-10 11:21:31",7.91713,14.9217
"2026-05-10 11:21:32",7.91785,14.9371
"2026-05-10 11:21:33",7.91856,14.9371
"2026-05-10 11:21:34",7.43759,14.9217
"2026-05-10 11:21:35",7.91582,14.799
"2026-05-10 11:21:36",8.0879,14.8143
"2026-05-10 11:21:37",8.15679,14.8603
"2026-05-10 11:21:38",8.15897,14.9064
"2026-05-10 11:21:39",8.0317,14.9524
"2026-05-10 11:21:40",7.9493,14.9524
"2026-05-10 11:21:41",7.90067,14.9678
"2026-05-10 11:21:42",7.87819,14.9678
"2026-05-10 11:21:43",7.87855,14.9524
"2026-05-10 11:21:44",7.92611,14.9371
"2026-05-10 11:21:45",7.92684,14.9064
"2026-05-10 11:21:46",7.95296,14.9064
"2026-05-10 11:21:47",7.95387,14.9217
"2026-05-10 11:21:48",8.00944,14.9371
"2026-05-10 11:21:49",7.98273,14.9524
"2026-05-10 11:21:50",7.9075,14.9371
"2026-05-10 11:21:51",7.90805,14.9217
"2026-05-10 11:21:52",7.95825,14.9217
"2026-05-10 11:21:53",7.93373,14.9217
"2026-05-10 11:21:54",7.98662,14.9371
"2026-05-10 11:21:55",7.96101,14.9217
"2026-05-10 11:21:56",7.93647,14.9524
"2026-05-10 11:21:57",7.91295,14.9371
"2026-05-10 11:21:58",7.93776,14.9371
"2026-05-10 11:21:59",7.9385,22.9176
"2026-05-10 11:22:00",7.91497,14.9371
"2026-05-10 11:22:01",7.79045,14.9371
"2026-05-10 11:22:02",7.93928,14.8757
"2026-05-10 11:22:03",7.99225,14.9064
"2026-05-10 11:22:04",8.02141,14.9217
"2026-05-10 11:22:05",7.9679,14.9371
"2026-05-10 11:22:06",7.94333,14.9371
"2026-05-10 11:22:07",7.96958,14.9371
"2026-05-10 11:22:08",7.945,14.9524
"2026-05-10 11:22:09",7.92142,14.9524
"2026-05-10 11:22:10",7.94631,14.9371
"2026-05-10 11:22:11",7.94706,14.9524
"2026-05-10 11:22:12",7.92347,14.9371
"2026-05-10 11:22:13",7.94837,14.9371
"2026-05-10 11:22:14",7.94912,14.9371
"2026-05-10 11:22:15",7.94987,14.9371
"2026-05-10 11:22:16",7.95063,14.9371
"2026-05-10 11:22:17",7.92702,14.9524
"2026-05-10 11:22:18",7.92759,14.9371
"2026-05-10 11:22:19",7.95252,14.9371
"2026-05-10 11:22:20",7.9289,14.9524
"2026-05-10 11:22:21",7.92947,14.9678
"2026-05-10 11:22:23",7.90735,14.9831
"2026-05-10 11:22:24",7.90773,14.9678
"2026-05-10 11:22:25",7.90811,14.9524
"2026-05-10 11:22:26",7.93176,14.9371
"2026-05-10 11:22:27",6.13961,14.7836
"2026-05-10 11:22:28",7.89678,14.492
